actor1,actor2,weight
31,32,67.775
31,33,67.775
31,34,67.775
31,35,67.775
31,6751,67.775
31,9640,67.775
31,36221,67.775
31,37821,67.775
31,37822,67.775
31,196855,67.775
31,204997,67.775
31,946856,67.775
31,951881,67.775
31,1019727,67.775
31,1215432,67.775
31,1808925,67.775
31,2020776,67.775
31,2140105,67.775
31,2392748,67.775
31,2939086,67.775
31,3052237,67.775
31,3817610,67.775
31,3817629,67.775
31,3817635,67.775
31,3817637,67.775
31,3817649,67.775
31,3817652,67.775
31,3817687,67.775
31,3817690,67.775
32,33,67.775
32,34,67.775
32,35,67.775
32,6751,67.775
32,9640,67.775
32,36221,67.775
32,37821,67.775
32,37822,67.775
32,196855,67.775
32,204997,67.775
32,946856,67.775
32,951881,67.775
32,1019727,67.775
32,1215432,67.775
32,1808925,67.775
32,2020776,67.775
32,2140105,67.775
32,2392748,67.775
32,2939086,67.775
32,3052237,67.775
32,3817610,67.775
32,3817629,67.775
32,3817635,67.775
32,3817637,67.775
32,3817649,67.775
32,3817652,67.775
32,3817687,67.775
32,3817690,67.775
33,34,67.775
33,35,67.775
33,6751,67.775
33,9640,67.775
33,36221,67.775
33,37821,67.775
33,37822,67.775
33,196855,67.775
33,204997,67.775
33,946856,67.775
33,951881,67.775
33,1019727,67.775
33,1215432,67.775
33,1808925,67.775
33,2020776,67.775
33,2140105,67.775
33,2392748,67.775
33,2939086,67.775
33,3052237,67.775
33,3817610,67.775
33,3817629,67.775
33,3817635,67.775
33,3817637,67.775
33,3817649,67.775
33,3817652,67.775
33,3817687,67.775
33,3817690,67.775
34,35,67.775
34,6751,67.775
34,9640,67.775
34,36221,67.775
34,37821,67.775
34,37822,67.775
34,196855,67.775
34,204997,67.775
34,946856,67.775
34,951881,67.775
34,1019727,67.775
34,1215432,67.775
34,1808925,67.775
34,2020776,67.775
34,2140105,67.775
34,2392748,67.775
34,2939086,67.775
34,3052237,67.775
34,3817610,67.775
34,3817629,67.775
34,3817635,67.775
34,3817637,67.775
34,3817649,67.775
34,3817652,67.775
34,3817687,67.775
34,3817690,67.775
35,6751,67.775
35,9640,67.775
35,36221,67.775
35,37821,67.775
35,37822,67.775
35,196855,67.775
35,204997,67.775
35,946856,67.775
35,951881,67.775
35,1019727,67.775
35,1215432,67.775
35,1808925,67.775
35,2020776,67.775
35,2140105,67.775
35,2392748,67.775
35,2939086,67.775
35,3052237,67.775
35,3817610,67.775
35,3817629,67.775
35,3817635,67.775
35,3817637,67.775
35,3817649,67.775
35,3817652,67.775
35,3817687,67.775
35,3817690,67.775
85,114,96.866
85,116,96.866
85,118,96.866
85,378,96.866
85,1709,96.866
85,1710,96.866
85,1711,96.866
85,1712,96.866
85,1713,96.866
85,1714,96.866
85,1715,96.866
85,1716,96.866
85,1717,96.866
103,109,47.389
103,204,47.389
103,205,47.389
103,206,47.389
109,204,47.389
109,205,47.389
109,206,47.389
114,116,96.866
114,118,96.866
114,378,96.866
114,1709,96.866
114,1710,96.866
114,1711,96.866
114,1712,96.866
114,1713,96.866
114,1714,96.866
114,1715,96.866
114,1716,96.866
114,1717,96.866
116,118,96.866
116,378,96.866
116,1709,96.866
116,1710,96.866
116,1711,96.866
116,1712,96.866
116,1713,96.866
116,1714,96.866
116,1715,96.866
116,1716,96.866
116,1717,96.866
118,378,96.866
118,1709,96.866
118,1710,96.866
118,1711,96.866
118,1712,96.866
118,1713,96.866
118,1714,96.866
118,1715,96.866
118,1716,96.866
118,1717,96.866
204,205,47.389
204,206,47.389
205,206,47.389
227,1245,116.09
227,3293,116.09
227,5538,116.09
227,18182,116.09
227,35029,116.09
227,101065,116.09
227,113970,116.09
227,1074617,116.09
227,1309110,116.09
227,1373737,116.09
